symbol,companyName,was_us_index_const,marketCap_Bn,sector,industry,exchange,exchangeShortName,country,currency,cik,cusip,isin,fullTimeEmployees,ipoDate
CIS.BR,"Cisco Systems, Inc.",No,223,Technology,Communication Equipment,Brussels,EURONEXT,US,USD,0,0,0,77500,0
CSCO,Cisco Systems Inc,Yes,219,Technology,Communication Equipment,Nasdaq Global Select,NASDAQ,US,USD,858877,17275R102,US17275R1023,77500,32905
PFE,Pfizer Inc,Yes,218,Healthcare,Drug Manufacturers General,New York Stock Exchange,NYSE,US,USD,78003,717081103,US7170811035,88300,16088
TM,Toyota Motor Corporation,No,216,Consumer Cyclical,Auto Manufacturers,New York Stock Exchange,NYSE,JP,USD,1094517,892331307,US8923313071,359542,41316
T,AT&T Inc,Yes,213,Communication Services,Telecom Services,New York Stock Exchange,NYSE,US,USD,732717,00206R102,US00206R1023,235000,30641
ASML.AS,ASML Holding NV,No,213,Technology,Semiconductor Equipment & Materials,Amsterdam,EURONEXT,NL,EUR,0,N07059202,NL0010273215,24749,34731
ABT,Abbott Laboratories,Yes,213,Healthcare,Medical Devices,New York Stock Exchange,NYSE,US,USD,1800,2824100,US0028241000,107000,13575
CRM,Salesforce.Com Inc,Yes,210,Technology,Software Application,New York Stock Exchange,NYSE,US,USD,1108524,79466L302,US79466L3024,54557,38161
PEP,PepsiCo Inc,Yes,201,Consumer Defensive,Beverages Non-Alcoholic,Nasdaq Global Select,NASDAQ,US,USD,77476,713448108,US7134481081,267000,7292
NKE,Nike Inc,Yes,201,Consumer Cyclical,Footwear & Accessories,New York Stock Exchange,NYSE,US,USD,320187,654106103,US6541061031,75400,33163
CHTEX.BR,Chevron Corporation,No,199,Energy,Oil & Gas Integrated,Brussels,EURONEXT,US,USD,0,0,0,48200,0
MRK,Merck & Co Inc,Yes,199,Healthcare,Drug Manufacturers General,New York Stock Exchange,NYSE,US,USD,310158,58933Y105,US58933Y1055,71000,16968
NVS,Novartis AG,No,197,Healthcare,Drug Manufacturers General,New York Stock Exchange,NYSE,CH,USD,1114448,66987V109,US66987V1098,110000,37139
CVX,Chevron Corp,Yes,195,Energy,Oil & Gas Integrated,New York Stock Exchange,NYSE,US,USD,93410,166764100,US1667641005,48200,7846
ABBV,Abbvie Inc,Yes,192,Healthcare,Drug Manufacturers General,New York Stock Exchange,NYSE,US,USD,1551152,00287Y109,US00287Y1091,47000,41276
TMO,Thermo Fisher Scientific Inc,Yes,190,Healthcare,Diagnostics & Research,New York Stock Exchange,NYSE,US,USD,97745,883556102,US8835561023,75000,29460
OR.PA,L'Oreal SA,No,189,Consumer Defensive,Household & Personal Products,Paris,EURONEXT,FR,EUR,0,F58149133,FR0000120321,87974,23292
AVGO,Broadcom Inc,Yes,187,Technology,Semiconductors,Nasdaq Global Select,NASDAQ,US,USD,1730168,11135F101,US11135F1012,19000,42401
ACN,Accenture PLC,Yes,183,Technology,Information Technology Services,New York Stock Exchange,NYSE,IE,USD,1467373,G1151C101,IE00B4BNMY34,506000,40057
LLY,Eli Lilly and Co,Yes,183,Healthcare,Drug Manufacturers General,New York Stock Exchange,NYSE,US,USD,59478,532457108,US5324571083,35065,25758
BHP,BHP Billiton Limited,No,181,Basic Materials,Other Industrial Metals & Mining,New York Stock Exchange,NYSE,AU,USD,811809,88606108,US0886061086,31589,37132
PROSY,Prosus N.V.,No,179,Communication Services,Internet Content & Information,Other OTC,MUTUAL_FUND,NL,USD,0,0,0,20000,0
WFC,Wells Fargo & Co,Yes,176,Financial Services,Banks Diversified,New York Stock Exchange,NYSE,US,USD,72971,949746101,US9497461015,274900,22990
MCD,Mcdonald's Corp,Yes,175,Consumer Cyclical,Restaurants,New York Stock Exchange,NYSE,US,USD,63908,580135101,US5801351017,205000,24293
SHOP.TO,Shopify Inc,No,174,Technology,Software Application,Toronto,TSX,CA,CAD,0,82509L107,CA82509L1076,5000,42145
MDT,Medtronic PLC,Yes,173,Healthcare,Medical Devices,New York Stock Exchange,NYSE,IE,USD,1613103,G5960L103,IE00BTN1Y115,90000,29297
DHR,Danaher Corp,Yes,172,Healthcare,Diagnostics & Research,New York Stock Exchange,NYSE,US,USD,313616,235851102,US2358511028,60000,25547
TXN,Texas Instruments Inc,Yes,171,Technology,Semiconductors,Nasdaq Global Select,NASDAQ,US,USD,97476,882508104,US8825081040,29768,19633
NVO,Novo Nordisk A/S,No,168,Healthcare,Biotechnology,New York Stock Exchange,NYSE,DK,USD,353278,670100205,US6701002056,44326,37139
TD-PFK.TO,The Toronto-Dominion Bank,No,168,Financial Services,Banks Diversified,Toronto,TSX,CA,CAD,0,0,0,90000,0
RY.TO,Royal Bank of Canada,No,166,Financial Services,Banks Diversified,Toronto,TSX,CA,CAD,0,780087102,CA7800871021,83842,1995
MRK.PA,Merck & Co Inc,No,165,Healthcare,Drug Manufacturers General,Paris,EURONEXT,US,EUR,0,58933Y105,US58933Y1055,71000,16968
COST,Costco Wholesale Corp,Yes,165,Consumer Defensive,Discount Stores,Nasdaq Global Select,NASDAQ,US,USD,909832,22160K105,US22160K1051,156000,31386
SAP,SAP SE ADS,No,163,Technology,Software Application,New York Stock Exchange,NYSE,DE,USD,1000184,803054204,DE0007164600,101450,41316
TMUS,T-Mobile US Inc,Yes,162,Communication Services,Telecom Services,Nasdaq Global Select,NASDAQ,US,USD,1283699,872590104,US8725901040,53000,39190
NEE,Nextera Energy Inc,Yes,158,Utilities,Utilities Regulated Electric,New York Stock Exchange,NYSE,US,USD,753308,65339F101,US65339F1012,14800,18309
HON,Honeywell International Inc,Yes,158,Industrials,Specialty Industrial Machinery,New York Stock Exchange,NYSE,US,USD,773840,438516106,US4385161066,113000,31309
SFTBY,SoftBank Group Corp.,No,157,Communication Services,Telecom Services,Other OTC,MUTUAL_FUND,JP,USD,1065521,0,0,80909,0
PDD,Pinduoduo Inc,Yes,157,Consumer Cyclical,Internet Retail,Nasdaq Global Select,NASDAQ,CN,USD,1737806,722304102,US7223041028,5828,43307
UPS,United Parcel Service Inc,Yes,156,Industrials,Integrated Freight & Logistics,New York Stock Exchange,NYSE,US,USD,1090727,911312106,US9113121068,260280,36474
QCOM,Qualcomm Inc,Yes,152,Technology,Semiconductors,Nasdaq Global Select,NASDAQ,US,USD,804328,747525103,US7475251036,41000,33573
BBL,BHP Billiton plc Sponsored ADR,No,151,Basic Materials,Other Industrial Metals & Mining,New York Stock Exchange,NYSE,AU,USD,1171264,5.545E+212,US05545E2090,31589,37797
UL,Unilever PLC,No,150,Consumer Defensive,Household & Personal Products,New York Stock Exchange,NYSE,NL,USD,217410,904767704,US9047677045,149867,41316
LIN,Linde PLC,Yes,149,Basic Materials,Specialty Chemicals,New York Stock Exchange,NYSE,GB,USD,1707925,G5494J103,IE00BZ12WP82,74648,43402
AMGN,Amgen Inc,Yes,149,Healthcare,Drug Manufacturers General,Nasdaq Global Select,NASDAQ,US,USD,318154,31162100,US0311621009,23400,31898
PRX.AS,Prosus N.V.,No,149,Communication Services,Internet Content & Information,Amsterdam,EURONEXT,NL,EUR,0,0,0,20000,0
TD.TO,Toronto-Dominion Bank,No,149,Financial Services,Banks Diversified,Toronto,TSX,CA,CAD,0,891160509,CA8911605092,89031,35307
BMY,Bristol-Myers Squibb Co,Yes,148,Healthcare,Drug Manufacturers General,New York Stock Exchange,NYSE,US,USD,14272,110122108,US1101221083,30000,10779
UNP,Union Pacific Corp,Yes,147,Industrials,Railroads,New York Stock Exchange,NYSE,US,USD,100885,907818108,US9078181081,31362,25374
TD-PFL.TO,The Toronto-Dominion Bank,No,147,Financial Services,Banks Diversified,Toronto,TSX,CA,CAD,0,0,0,90000,0
PM,Philip Morris International Inc,Yes,146,Consumer Defensive,Tobacco,New York Stock Exchange,NYSE,US,USD,1413329,718172109,US7181721090,73500,39524
C,Citigroup Inc,Yes,146,Financial Services,Banks Diversified,New York Stock Exchange,NYSE,US,USD,831001,172967424,US1729674242,209000,40672
LOW,Lowe`s Companies Inc,Yes,145,Consumer Cyclical,Home Improvement Retail,New York Stock Exchange,NYSE,US,USD,60667,548661107,US5486611073,300000,29208
RDS-A,Royal Dutch Shell plc,No,145,Energy,Oil & Gas Integrated,New York Stock Exchange,NYSE,NL,USD,1306965,0,0,83000,0
RDS-B,Royal Dutch Shell plc,No,145,Energy,Oil & Gas Integrated,New York Stock Exchange,NYSE,NL,USD,1306965,0,0,83000,0
MS,Morgan Stanley,Yes,144,Financial Services,Capital Markets,New York Stock Exchange,NYSE,US,USD,895421,617446448,US6174464486,63051,31492
CHTR,Charter Communications Inc,Yes,140,Communication Services,Entertainment,Nasdaq Global Select,NASDAQ,US,USD,1091667,16119P108,US16119P1084,95100,40149
SHOP,Shopify Inc,No,138,Technology,Software Application,New York Stock Exchange,NYSE,CA,USD,1594805,82509L107,CA82509L1076,5000,42145
SBUX,Starbucks Corp,Yes,137,Consumer Cyclical,Restaurants,Nasdaq Global Select,NASDAQ,US,USD,829224,855244109,US8552441094,349000,33756
BA,Boeing Co,Yes,137,Industrials,Aerospace & Defense,New York Stock Exchange,NYSE,US,USD,12927,97023105,US0970231058,161100,12667
AZN,Astrazeneca PLC,No,136,Healthcare,Drug Manufacturers General,New York Stock Exchange,NYSE,GB,USD,901832,46353108,US0463531089,70600,37132
ASAX,Astrea Acquisition Corp.,No,136,Financial Services,Shell Companies,Nasdaq Global Select,NASDAQ,US,USD,1824211,0,0,0,44270
SONY,Sony Corporation,No,135,Technology,Consumer Electronics,New York Stock Exchange,NYSE,JP,USD,313838,835699307,US8356993076,111700,41316
BOEI.BR,The Boeing Company,No,134,Industrials,Aerospace & Defense,Brussels,EURONEXT,US,USD,0,0,0,161100,0
RIO,Rio Tinto Plc,No,134,Basic Materials,Other Industrial Metals & Mining,New York Stock Exchange,NYSE,GB,USD,863064,767204100,US7672041008,46000,41316
VWAP.BR,Volkswagen AG,No,133,Consumer Cyclical,Auto Manufacturers,Brussels,EURONEXT,DE,EUR,0,0,0,664196,0
VOW.DE,Volkswagen AG,No,133,Consumer Cyclical,Auto Manufacturers,XETRA,EURONEXT,DE,EUR,0,0,0,664196,0
VWA.BR,Volkswagen AG,No,133,Consumer Cyclical,Auto Manufacturers,Brussels,EURONEXT,DE,EUR,0,0,0,664196,0
RY,Royal Bank of Canada,No,132,Financial Services,Banks Diversified,New York Stock Exchange,NYSE,CA,USD,1000275,780087102,CA7800871021,83842,1995
BUD,Anheuser-Busch Inbev SA Sponsored ADR (Belgium),No,132,Consumer Defensive,Beverages Alcoholic,New York Stock Exchange,NYSE,BE,USD,1668717,03524A108,US03524A1088,170000,36893
SNY,Sanofi American Depositary Shares (Each repstg one-half of one),No,129,Healthcare,Drug Manufacturers General,Nasdaq Global Select,NASDAQ,FR,USD,1121404,80105N105,US80105N1054,100409,41316
UNA.AS,Unilever NV,No,125,Consumer Defensive,Household & Personal Products,Amsterdam,EURONEXT,NL,EUR,0,N8981F289,NL0000388619,149867,31049
CAT,Caterpillar Inc,Yes,124,Industrials,Farm & Heavy Construction Machinery,New York Stock Exchange,NYSE,US,USD,18230,149123101,US1491231015,102300,10929
IBM,International Business Machines Corp,Yes,123,Technology,Software Application,New York Stock Exchange,NYSE,US,USD,51143,459200101,US4592001014,352600,5794
BLK,BlackRock Inc,Yes,123,Financial Services,Asset Management,New York Stock Exchange,NYSE,US,USD,1364742,09247X101,US09247X1019,16600,36434
SE,Sea Ltd,No,123,Communication Services,Electronic Gaming & Multimedia,New York Stock Exchange,NYSE,SG,USD,1703399,81141R100,US81141R1005,29800,43028
SCHW,Charles Schwab Corp,Yes,120,Financial Services,Capital Markets,New York Stock Exchange,NYSE,US,USD,316709,808513105,US8085131055,22100,40242
RDSB.AS,Royal Dutch Shell plc,No,120,Energy,Oil & Gas Integrated,Amsterdam,EURONEXT,NL,EUR,0,0,0,83000,0
RDSA.AS,Royal Dutch Shell PLC,No,119,Energy,Oil & Gas Integrated,Amsterdam,EURONEXT,NL,EUR,0,G7690A100,GB00B03MLX29,83000,38553
TD,Toronto-Dominion Bank,No,118,Financial Services,Banks Diversified,New York Stock Exchange,NYSE,CA,USD,947263,891160509,CA8911605092,89031,35307
AMAT,Applied Materials Inc,Yes,118,Technology,Semiconductor Equipment & Materials,Nasdaq Global Select,NASDAQ,US,USD,6951,38222105,US0382221051,24000,26577
HSBC,HSBC Holdings plc.,No,118,Financial Services,Banks Diversified,New York Stock Exchange,NYSE,GB,USD,1089113,404280406,US4042804066,230317,37138
JD,JD.com Inc.,Yes,117,Consumer Cyclical,Internet Retail,Nasdaq Global Select,NASDAQ,CN,USD,1549802,47215P106,US47215P1066,220000,41781
RTX,Raytheon Technologies Corp,Yes,117,Industrials,Aerospace & Defense,New York Stock Exchange,NYSE,US,USD,101829,7.5513E+105,US75513E1010,243200,12667
TOT,Total S.A.,No,117,Energy,Oil & Gas Integrated,New York Stock Exchange,NYSE,FR,USD,879764,8.9151E+113,US89151E1091,107776,41316
AXP,American Express Co,Yes,117,Financial Services,Credit Services,New York Stock Exchange,NYSE,US,USD,4962,25816109,US0258161092,64000,28263
DE,Deere & Co,Yes,116,Industrials,Farm & Heavy Construction Machinery,New York Stock Exchange,NYSE,US,USD,315189,244199105,US2441991054,73500,12234
MMM,3M Co,Yes,115,Industrials,Specialty Industrial Machinery,New York Stock Exchange,NYSE,US,USD,66740,88579Y101,US88579Y1010,96163,16816
GE,General Electric Co,Yes,115,Industrials,Specialty Industrial Machinery,New York Stock Exchange,NYSE,US,USD,40545,369604103,US3696041033,189400,1892-06-23
LFC,China Life Insurance Company Limited American Depositary Shares,No,114,Financial Services,Insurance Life,New York Stock Exchange,NYSE,CN,USD,1268896,16939P106,US16939P1066,103826,37972
SIA.BR,Siemens Aktiengesellschaft,No,113,Industrials,Specialty Industrial Machinery,Brussels,EURONEXT,DE,EUR,0,0,0,293000,0
GS,Goldman Sachs Group Inc,Yes,113,Financial Services,Capital Markets,New York Stock Exchange,NYSE,US,USD,886982,38141G104,US38141G1040,40900,36284
AMT,American Tower Corp,Yes,112,Real Estate,REIT Specialty,New York Stock Exchange,NYSE,US,USD,1053507,03027X100,US03027X1000,5454,40911
EL,Estee Lauder Companies Inc,Yes,112,Consumer Defensive,Household & Personal Products,New York Stock Exchange,NYSE,US,USD,1001250,518439104,US5184391044,48000,35020
SQ,Square Inc,No,112,Technology,Software Infrastructure,New York Stock Exchange,NYSE,US,USD,1512673,852234103,US8522341036,3835,42327
INTU,Intuit Inc,Yes,111,Technology,Software Application,Nasdaq Global Select,NASDAQ,US,USD,896878,461202103,US4612021034,10600,34040
PTR,PetroChina Company Limited,No,110,Energy,Oil & Gas Integrated,New York Stock Exchange,NYSE,CN,USD,1108329,7.1646E+104,US71646E1001,460724,41316
ABI.BR,Anheuser Busch Inbev NV,No,110,Consumer Defensive,Beverages Brewers,Brussels,EURONEXT,BE,EUR,0,B639CJ108,BE0974293251,170000,42654
LMT,Lockheed Martin Corp,Yes,108,Industrials,Aerospace & Defense,New York Stock Exchange,NYSE,US,USD,936468,539830109,US5398301094,110000,22565
SAN.PA,Sanofi SA,No,107,Healthcare,Drug Manufacturers General,Paris,EURONEXT,FR,EUR,0,F5548N101,FR0000120578,100409,37438
NOW,ServiceNow Inc,Yes,106,Technology,Software Application,New York Stock Exchange,NYSE,US,USD,1373715,81762P102,US81762P1021,12643,41089
RMS.PA,Hermes International SCA,No,106,Consumer Cyclical,Luxury Goods,Paris,EURONEXT,FR,EUR,0,F48051100,FR0000052292,15698,34123
HDB,HDFC Bank Limited,No,105,Financial Services,Banks,New York Stock Exchange,NYSE,IN,USD,1144967,40415F101,US40415F1012,116971,37092
UBER,Uber Technologies Inc,No,104,Technology,Software Application,New York Stock Exchange,NYSE,US,USD,1543151,90353T100,US90353T1007,21600,43595
TGT,Target Corp,Yes,103,Consumer Defensive,Discount Stores,New York Stock Exchange,NYSE,US,USD,27419,8.7612E+110,US87612E1064,368000,25454
ABNB,"Airbnb, Inc.",No,103,Communication Services,Internet Content & Information,Nasdaq Global Select,NASDAQ,US,USD,1559720,9066101,US0090661010,0,44175
NPSNY,Naspers Limited,No,103,Communication Services,Internet Content & Information,Other OTC,MUTUAL_FUND,ZA,USD,0,631512209,US6315122092,25527,37613
DEO,Diageo plc,No,103,Consumer Defensive,Beverages Wineries & Distilleries,New York Stock Exchange,NYSE,GB,USD,835403,25243Q205,US25243Q2057,27788,37133
CDI.PA,Christian Dior SE,No,102,Consumer Cyclical,Luxury Goods,Paris,EURONEXT,FR,EUR,0,F26334106,FR0000130403,135546,33576
GS-PN,"The Goldman Sachs Group, Inc.",No,101,Financial Services,Capital Markets,New York Stock Exchange,NYSE,US,USD,886982,0,0,40500,0
RY-PT,Royal Bank of Canada,No,100,Financial Services,Banks,New York Stock Exchange,NYSE,CA,USD,1000275,0,0,83842,0
CVS,CVS Health Corp,Yes,100,Healthcare,Health Care Plans,New York Stock Exchange,NYSE,US,USD,64803,126650100,US1266501006,290000,19268
CNR.TO,Canadian National Railway Co,No,99,Industrials,Railroads,Toronto,TSX,CA,CAD,0,136375102,CA1363751027,24008,35020
CATR.PA,Caterpillar Inc,No,98,Industrials,Farm & Heavy Construction Machinery,Paris,EURONEXT,US,EUR,0,149123101,US1491231015,102300,10929
VALE,VALE S.A. American Depositary Shares Each Representing one,No,98,Basic Materials,Metals & Mining,New York Stock Exchange,NYSE,BR,USD,917851,9.1912E+109,US91912E1055,0,41316
MU,Micron Technology Inc,Yes,98,Technology,Semiconductors,Nasdaq Global Select,NASDAQ,US,USD,723125,595112103,US5951121038,40000,30834
SYK,Stryker Corp,Yes,97,Healthcare,Medical Devices,New York Stock Exchange,NYSE,US,USD,310764,863667101,US8636671013,40000,35635
FP.PA,Total SE,No,97,Energy,Oil & Gas Integrated,Paris,EURONEXT,FR,EUR,0,F92124100,FR0000120271,107776,26933
GNE.PA,General Electric Co,No,96,Industrials,Specialty Industrial Machinery,Paris,EURONEXT,US,EUR,0,369604103,US3696041033,189400,1892-06-23
AMD,Advanced Micro Devices Inc,Yes,96,Technology,Semiconductors,Nasdaq Capital Market,NASDAQ,US,USD,2488,7903107,US0079031078,11400,29143
BKNG,Booking Holdings Inc,Yes,96,Consumer Cyclical,Travel Services,Nasdaq Global Select,NASDAQ,US,USD,1075531,09857L108,US09857L1089,23000,36248
ISRG,Intuitive Surgical Inc,Yes,96,Healthcare,Medical Instruments & Supplies,Nasdaq Global Select,NASDAQ,US,USD,1035267,46120E602,US46120E6023,7326,38869
CTA-PB,E. I. du Pont de Nemours and Company,No,95,Basic Materials,Agricultural Inputs,New York Stock Exchange,NYSE,US,USD,30554,0,0,21000,0
ZM,Zoom Video Communications Inc,Yes,95,Communication Services,Telecom Services,Nasdaq Global Select,NASDAQ,US,USD,1585521,98980L101,US98980L1017,3871,43573
FIS,Fidelity National Information Services Inc,Yes,94,Technology,Information Technology Services,New York Stock Exchange,NYSE,US,USD,1136893,31620M106,US31620M1062,55000,37062
ENB.TO,Enbridge Inc,No,94,Energy,Oil & Gas Midstream,Toronto,TSX,CA,CAD,0,29250N105,CA29250N1050,13000,37194
ANTM,Anthem Inc,Yes,94,Healthcare,Health Care Plans,New York Stock Exchange,NYSE,US,USD,1156039,36752103,US0367521038,70600,37194
GSK,GlaxoSmithKline PLC,No,93,Healthcare,Drug Manufacturers General,New York Stock Exchange,NYSE,GB,USD,1131399,37733W105,US37733W1053,99437,37138
BNS.TO,Bank of Nova Scotia,No,93,Financial Services,Banks Diversified,Toronto,TSX,CA,CAD,0,64149107,CA0641491075,92001,29297
SPGI,S&P Global Inc,Yes,91,Financial Services,Financial Data & Stock Exchanges,New York Stock Exchange,NYSE,US,USD,64040,78409V104,US78409V1044,22500,10638
BTI,British American Tobacco Industries p.l.c. ADR,No,89,Consumer Defensive,Tobacco,New York Stock Exchange,NYSE,GB,USD,1303523,110448107,US1104481072,56689,29325
SNAP,Snap Inc,No,88,Communication Services,Internet Content & Information,New York Stock Exchange,NYSE,US,USD,1564408,83304A106,US83304A1060,3713,42796
TI,Telecom Italia S.P.A. New,No,88,Communication Services,Communication Services,New York Stock Exchange,NYSE,US,USD,0,0,0,0,0
CI,Cigna Corp,Yes,88,Healthcare,Health Care Plans,New York Stock Exchange,NYSE,US,USD,1739940,125523100,US1255231003,73700,30042
BAM-A.TO,Brookfield Asset Management Inc,No,88,Financial Services,Asset Management,Toronto,TSX,CA,CAD,0,112585104,CA1125851040,150000,35653
LRCX,Lam Research Corp,Yes,88,Technology,Semiconductor Equipment & Materials,Nasdaq Global Select,NASDAQ,US,USD,707549,512807108,US5128071082,11700,30813
USB-PP,U.S. Bancorp,No,88,Financial Services,Banks,New York Stock Exchange,NYSE,US,USD,36104,0,0,70000,0
MO,Altria Group Inc,Yes,87,Consumer Defensive,Tobacco,New York Stock Exchange,NYSE,US,USD,764180,02209S103,US02209S1033,7300,8475
ROUTE.NS,Route Mobile Limited,No,86,Communication Services,Telecom Services,NSE,EURONEXT,IN,INR,0,0,0,603,0
DGE.PA,Diageo PLC,No,85,Consumer Defensive,Beverages Wineries & Distilleries,Paris,EURONEXT,GB,EUR,0,G42089113,GB0002374006,27788,19120
PLD,Prologis Inc,Yes,85,Real Estate,REIT Industrial,New York Stock Exchange,NYSE,US,USD,1045609,74340W103,US74340W1036,1712,35755
USB,U.S. Bancorp,Yes,84,Financial Services,Banks Regional,New York Stock Exchange,NYSE,US,USD,36104,902973304,US9029733048,70000,30809
